Giocante,Partite giocate,Partite vinte,Set vinti
RicBardo,8/8,6,18
Gianwombat,7/8,6,16
Gimbolimbo,7/8,5,12
Bender,8/8,4,13
Jimmy,8/8,4,12
JO STAGNARO,8/8,4,12
Sciämpägeaûx,8/8,3,10
DJ POSTE ITALIANE S.p.a,8/8,2,6
SAETTO’,8/8,1,6
