Giocante,Part. giocate,Part. vinte,Set vinti
Arianna,,,
Bacio di Cappella,,,
Ciot,,,
Mino,,,
Il Mago Tony,,,
Elisabetta 82,,,
F. Sesa,,,
Plotter,,,
Sam Bandicot,,,
Steffy,,,
