Giocante,Partite giocate,Partite vinte,Set vinti
Gianluchi,9/10,7,21
Angio,9/10,6,18
Lo Störto Russo,9/10,6,16
Moz,9/10,6,16
Nefasto,9/10,6,15
Kedrega,9/10,4,11
Gigi_One,8/10,4,11
Jonny Becchino,9/10,3,12
LucⒶ,9/10,2,10
CRG7,8/10,0,4
Buio,0/10,0,0
