Giocante,Partite giocate,Partite vinte,Set vinti
Mucho Micio,8/8,6,16
Jonny Becchino,8/8,5,15
Fileri,8/8,5,15
Mos,8/8,5,13
Buio,8/8,4,12
LucaⒶ,8/8,4,11
Gigi One 88,8/8,3,13
Màlan,8/8,3,9
Bobby Solo,8/8,1,5
