Giocante,Partite giocate,Partite vinte,Set vinti
Turi,8/8,7,20
CiccioPanzo,4/8,4,8
Bonny,5/8,3,9
Despina,6/8,2,8
Eros,4/8,2,5
WDRW,3/8,1,4
Codroipo,5/8,0,3
Brioche,2/8,0,0
Il Peccatore,1/8,0,0
